distancia,qiskit,cirq_hf,cirq_fci,distancia_pennylane,pennylane
0.2,0.15748213479836348,0.16417500141481933,0.15748212414247487,0.1058354498,2.4282591220923715
0.30000000000000004,-0.6018037107656873,-0.59382776458494,-0.6018037168352988,0.2116708996,0.03177404490938471
0.4000000000000001,-0.9141497046270832,-0.904361397713845,-0.9141497082141279,0.3175063494,-0.6682564110880092
0.5000000000000001,-1.055159794470625,-1.0429962765072203,-1.055159796496619,0.4233417992,-0.9473079310932645
0.6000000000000001,-1.1162860068695424,-1.1011282431368283,-1.1162860078265333,0.529177249,-1.0659994621315843
0.7000000000000002,-1.1361894540659234,-1.1173490350703141,-1.1361894542708848,0.6350126987999999,-1.1103338826760674
0.8000000000000003,-1.1341476666771015,-1.1108503969854677,-1.1341476663578605,0.7408481486,-1.1167143250638307
0.9000000000000001,-1.1205602812999882,-1.0919140401071208,-1.1205602806186359,0.8466835984,-1.1031409704890296
1.0000000000000002,-1.1011503302326202,-1.0661086480817525,-1.101150329303588,0.9525190482,-1.0789822119248833
1.1000000000000003,-1.0791929449690723,-1.0365388735395633,-1.0791929438802303,1.058354498,-1.0491709019959603
1.2000000000000004,-1.056740746305258,-1.0051067048832343,-1.056740745132591,1.1641899478,-1.0164857215288552
1.3000000000000003,-1.035186266434257,-0.9731106139491602,-1.0351862652459827,1.2700253976,-0.9826993263215829
1.4000000000000004,-1.015468249288245,-0.9414806527840186,-1.0154682481426915,1.3758608474000003,-0.9490431531806232
1.5000000000000004,-0.9981493534714112,-0.9108735526174462,-0.9981493524136993,1.4816962972,-0.9163768194886566
1.6000000000000003,-0.9834727290331742,-0.8817324479521221,-0.9834727280932716,1.587531747,-0.8852750001255925
1.7000000000000004,-0.9714266884583416,-0.8543376249706873,-0.9714266876511379,1.6933671968,-0.8560969196807474
1.8000000000000005,-0.9618169527925806,-0.8288481459846262,-0.9618169521199167,1.7992026466,-0.8290436545853272
1.9000000000000006,-0.9543388539987301,-0.8053328430090216,-0.9543388534525794,1.9050380964000002,-0.8042006487587832
2.000000000000001,-0.9486411121761873,-0.783792652466311,-0.9486411117424077,2.0108735462,-0.7815678373660411
2.1000000000000005,-0.9443746811197398,-0.7641776498896591,-0.944374680781336,2.116708996,-0.7610822470367297
2.200000000000001,-0.9412240336932649,-0.7464013483548488,-0.9412240334330747,2.2225444458,-0.7426368089705611
2.3000000000000007,-0.9389223859872754,-0.7303533198131085,-0.938922385789505,2.3283798956,-0.726096817249155
2.400000000000001,-0.9372549530096287,-0.7159100590078187,-0.9372549528606704,2.4342153454,-0.71131380319241
2.500000000000001,-0.9360549199556059,-0.7029435983728299,-0.9360549198442759,2.5400507952,-0.6981361197597519
2.600000000000001,-0.9351960308474732,-0.6913275599401918,-0.9351960307648302,2.6458862450000002,-0.6864159248509967
2.700000000000001,-0.9345844159367673,-0.6809407594562423,-0.9345844158758175,2.7517216948,-0.6760129287574728
2.800000000000001,-0.9341510956709376,-0.6716688586728846,-0.9341510956262773,2.8575571446,-0.66679576992991
2.9000000000000012,-0.9338457507791563,-0.6634047406038097,-0.9338457507466577,2.9633925944,-0.6586420258341787
